image_id,error_type,variant_id,passed
nyuv2_labeled_1273,semantic_preserving,0,True
nyuv2_labeled_0609,semantic_preserving,1,True
nyuv2_labeled_0228,semantic_preserving,2,True
nyuv2_labeled_1143,semantic_preserving,1,True
nyuv2_labeled_0067,semantic_preserving,1,True
nyuv2_labeled_0121,semantic_preserving,2,True
nyuv2_labeled_0424,semantic_preserving,2,True
nyuv2_labeled_0701,semantic_preserving,2,True
nyuv2_labeled_0986,semantic_preserving,0,True
nyuv2_labeled_0479,semantic_preserving,1,True
nyuv2_labeled_0548,semantic_preserving,2,True
nyuv2_labeled_0496,semantic_preserving,0,True
nyuv2_labeled_0649,semantic_preserving,0,True
nyuv2_labeled_0496,semantic_preserving,2,True
nyuv2_labeled_0080,semantic_preserving,0,True
nyuv2_labeled_0714,semantic_preserving,0,True
nyuv2_labeled_0454,semantic_preserving,2,True
nyuv2_labeled_1142,semantic_preserving,1,True
nyuv2_labeled_0163,semantic_preserving,0,True
nyuv2_labeled_1007,semantic_preserving,0,True
nyuv2_labeled_0241,semantic_preserving,1,True
nyuv2_labeled_0121,semantic_preserving,1,True
nyuv2_labeled_0320,semantic_preserving,1,True
nyuv2_labeled_0479,semantic_preserving,2,True
nyuv2_labeled_0488,semantic_preserving,0,True
nyuv2_labeled_0367,target_deletion,1,True
nyuv2_labeled_0121,target_deletion,0,True
nyuv2_labeled_0454,target_deletion,0,True
nyuv2_labeled_0067,target_deletion,0,True
nyuv2_labeled_0903,target_deletion,0,True
nyuv2_labeled_0241,target_deletion,0,True
nyuv2_labeled_0318,target_deletion,2,True
nyuv2_labeled_0505,target_deletion,2,True
nyuv2_labeled_0121,target_deletion,2,True
nyuv2_labeled_0226,target_deletion,2,True
nyuv2_labeled_0880,target_deletion,0,True
nyuv2_labeled_1403,target_deletion,2,True
nyuv2_labeled_0901,target_deletion,1,True
nyuv2_labeled_0938,target_deletion,2,True
nyuv2_labeled_0548,target_deletion,0,True
nyuv2_labeled_1036,target_deletion,0,True
nyuv2_labeled_0488,target_deletion,0,True
nyuv2_labeled_0241,target_deletion,2,True
nyuv2_labeled_0751,target_deletion,1,True
nyuv2_labeled_0346,target_deletion,2,True
nyuv2_labeled_0365,target_deletion,2,True
nyuv2_labeled_0228,target_deletion,1,True
nyuv2_labeled_1273,target_deletion,2,True
nyuv2_labeled_0161,target_deletion,0,True
nyuv2_labeled_0986,target_deletion,1,True
nyuv2_labeled_0120,local_entity_conflict,2,True
nyuv2_labeled_0391,local_entity_conflict,1,True
nyuv2_labeled_0830,local_entity_conflict,2,True
nyuv2_labeled_0753,local_entity_conflict,2,True
nyuv2_labeled_1377,local_entity_conflict,0,True
nyuv2_labeled_0755,local_entity_conflict,1,True
nyuv2_labeled_0751,local_entity_conflict,2,True
nyuv2_labeled_1271,local_entity_conflict,2,True
nyuv2_labeled_0121,local_entity_conflict,2,True
nyuv2_labeled_0424,local_entity_conflict,2,True
nyuv2_labeled_0242,local_entity_conflict,2,True
nyuv2_labeled_0394,local_entity_conflict,2,True
nyuv2_labeled_0226,local_entity_conflict,0,True
nyuv2_labeled_0939,local_entity_conflict,0,True
nyuv2_labeled_1134,local_entity_conflict,1,True
nyuv2_labeled_0793,local_entity_conflict,0,True
nyuv2_labeled_0496,local_entity_conflict,1,True
nyuv2_labeled_0610,local_entity_conflict,1,True
nyuv2_labeled_0080,local_entity_conflict,1,True
nyuv2_labeled_0242,local_entity_conflict,1,True
nyuv2_labeled_1070,local_entity_conflict,2,True
nyuv2_labeled_1377,local_entity_conflict,1,True
nyuv2_labeled_0868,local_entity_conflict,0,True
nyuv2_labeled_0409,local_entity_conflict,1,True
nyuv2_labeled_0070,local_entity_conflict,0,True
nyuv2_labeled_0487,depth_relation_conflict,0,True
nyuv2_labeled_0486,depth_relation_conflict,0,True
nyuv2_labeled_0354,depth_relation_conflict,0,True
nyuv2_labeled_0344,depth_relation_conflict,2,True
nyuv2_labeled_0938,depth_relation_conflict,2,True
nyuv2_labeled_0903,depth_relation_conflict,0,True
nyuv2_labeled_1403,depth_relation_conflict,0,True
nyuv2_labeled_0649,depth_relation_conflict,2,True
nyuv2_labeled_0755,depth_relation_conflict,2,True
nyuv2_labeled_0344,depth_relation_conflict,0,True
nyuv2_labeled_0454,depth_relation_conflict,2,True
nyuv2_labeled_0424,depth_relation_conflict,2,True
nyuv2_labeled_0163,depth_relation_conflict,1,True
nyuv2_labeled_1215,depth_relation_conflict,1,True
nyuv2_labeled_0868,depth_relation_conflict,0,True
nyuv2_labeled_0548,depth_relation_conflict,1,True
nyuv2_labeled_0163,depth_relation_conflict,0,True
nyuv2_labeled_1070,depth_relation_conflict,1,True
nyuv2_labeled_0045,depth_relation_conflict,0,True
nyuv2_labeled_0488,depth_relation_conflict,2,True
nyuv2_labeled_0753,depth_relation_conflict,1,True
nyuv2_labeled_0346,depth_relation_conflict,0,True
nyuv2_labeled_0082,depth_relation_conflict,1,True
nyuv2_labeled_0903,depth_relation_conflict,1,True
nyuv2_labeled_1070,depth_relation_conflict,0,True
